pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,799.9705217242788
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,790.2344842171894
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,797.9396002660944
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,807.8991455739881
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,808.0866160934825
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,812.4817941471256
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,815.1741586534797
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,792.8871114365736
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,794.1206901495227
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,799.9099767403352
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,805.3159186693301
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,805.0957142087107
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,808.5018335753998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,809.4188131549652
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,795.4335169035653
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,797.3597722932946
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,807.8296136715678
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,813.2324780924039
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,811.6274709545421
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,806.7693144681134
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,809.6123723263129
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,794.5940716883215
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,796.9126269431238
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,801.8727091257272
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,800.5119193465912
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,799.4448137093987
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,798.3392079433979
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,802.3727721939049
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,853.2719462844823
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,858.2777766030288
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,851.7286540266286
